_id,isActive,Category,name,price,display,purchase,unitWeight,image
158,true,2001,"קייג'ין - תיבול להום פרייז, פלחים וצ'יפס",9.8,kg,Units,1,ProdPic/default.jpg
159,true,2001,קטשופ - 750 גר' ,16,kg,Units,0.75,ProdPic/default.jpg
160,true,2002,לחמניות להמבורגר - 80 גרם  ,15,Units,Units,,ProdPic/default.jpg
161,true,2002,לחמניות להמבורגר - 220 גרם ,15,Units,Units,,ProdPic/default.jpg
162,true,2002,לחמניות לנקניקיה - 8 יח',15,Units,Units,,ProdPic/default.jpg
163,true,2002,פיתות אסליות - 10 יח',15,Units,Units,,ProdPic/default.jpg
164,true,2002,פיתות בייבי - אסליות - 10 יח',15,Units,Units,,ProdPic/default.jpg
165,true,2003,אלף האיים  - 300 גר',13,Units,Units,,ProdPic/default.jpg
166,true,2003,ויניגרד תפוזים -300 גר',13,Units,Units,,ProdPic/default.jpg
167,true,2003,ויניגרד קלאסי - 300  גר',13,Units,Units,,ProdPic/default.jpg
168,true,2003,חרדל ודבש לסלט - 300 גר',13,Units,Units,,ProdPic/default.jpg
169,true,2003,ברביקיו - לגריל ולהמבורגר - 300 גר',13,Units,Units,,ProdPic/default.jpg
170,true,2003,צ'ימצ'ורי - 220 גר',24.5,Units,Units,,ProdPic/default.jpg
171,true,2003,מיונז הלמנס - צנצנת ,15.8,Units,Units,,ProdPic/default.jpg
172,true,3001,חומוס ירושלמי 250 גר',8.5,Units,Units,,ProdPic/default.jpg
173,true,3001,חומוס ירושלמי 500 גר',14.9,Units,Units,,ProdPic/default.jpg
174,true,3001,חומוס מסבחה עם גרגרים  - 250 גר',8.5,Units,Units,,ProdPic/default.jpg
175,true,3001,חומוס מסבחה עם גרגרים  - 500 גר',14.9,Units,Units,,ProdPic/default.jpg
176,true,3001,מסבחה ירוקה קצוצה טרייה  - 250 גר',8.5,Units,Units,,ProdPic/default.jpg
177,true,3001,טחינה ישראלית אמיתית - 250 גר',8.5,Units,Units,,ProdPic/default.jpg
178,true,3001,טחינה ישראלית אמיתית - 500 גר',14.9,Units,Units,,ProdPic/default.jpg
179,true,3001,טחינה אבו גוש - עם פטרוזיליה 250 גר',8.5,Units,Units,,ProdPic/default.jpg
180,true,3001,טחינה אבו גוש - עם פטרוזיליה 500 גר',14.9,Units,Units,,ProdPic/default.jpg
181,true,3001,טחינה גולמית אל - ארז  500 גר',17,Units,Units,,ProdPic/default.jpg
182,true,3002,חציל על האש טבעי 250 גר',8.5,Units,Units,,ProdPic/default.jpg
183,true,3002,חציל תאילנדי 250 גר',8.5,Units,Units,,ProdPic/default.jpg
184,true,3002,חציל מרוקאי 250 גר',8.5,Units,Units,,ProdPic/default.jpg
185,true,3002,חציל איטלקי עם זיתים 250 גר',8.5,Units,Units,,ProdPic/default.jpg
186,true,3002,חציל יפני עם רוטב צ'ילי 250 גר',8.5,Units,Units,,ProdPic/default.jpg
187,true,3002,חציל על האש במיונז 250 גר',8.5,Units,Units,,ProdPic/default.jpg
188,true,3002,חציל על האש במיונז 500 גר',14.9,Units,Units,,ProdPic/default.jpg
189,true,3002,חציל על האש עם ירקות 250 גר',8.5,Units,Units,,ProdPic/default.jpg
190,true,3002,חציל על האש עם ירקות 500 גר',14.9,Units,Units,,ProdPic/default.jpg
191,true,3002,חציל על האש בטחינה 500 גר',16.15,Units,Units,,ProdPic/default.jpg
192,true,3002,חציל ברוטב מתוק אדום אדום 250 גר',8.5,Units,Units,,ProdPic/default.jpg
193,true,3002,חציל פיקנטי ברוטב אדום 250 גר',8.5,Units,Units,,ProdPic/default.jpg
194,true,3003,תורכי תורכי 250 גר' ,8.5,Units,Units,,ProdPic/default.jpg
195,true,3003,תורכי תורכי 500 גר' ,14.9,Units,Units,,ProdPic/default.jpg
196,true,3003,סלסה עגבניות עם שום 250 גר' ,8.5,Units,Units,,ProdPic/default.jpg
197,true,3003,מטבוחה על האש -250 גר',8.5,Units,Units,,ProdPic/default.jpg
198,true,3003,מרדומה חמודה - 250 גר' ,8.5,Units,Units,,ProdPic/default.jpg
199,true,3004,פלפלים קלויים על האש - רצועות - 250 גר',8.5,Units,Units,,ProdPic/default.jpg
200,true,3004,פלפלים קלויים על האש - רצועות חריף בכיף,8.5,Units,Units,,ProdPic/default.jpg
201,true,3004,סלק אדום אדום - 250 גר',8.5,Units,Units,,ProdPic/default.jpg
202,true,3004,כרוב אדום במיונז 250 גר',8.5,Units,Units,,ProdPic/default.jpg
203,true,3004,פלפל גמבה - שרי פיקנטי 250 גר',8.5,Units,Units,,ProdPic/default.jpg
204,true,3004,גזר מרוקאי - עם פטרוזיליה קצוצה 250 גר',8.5,Units,Units,,ProdPic/default.jpg
205,true,3004,"תפו""א במיונז עם מלפפון חמוץ 250 גר'",8.5,Units,Units,,ProdPic/default.jpg
206,true,3004,קולסלאו - 250 גר',8.5,Units,Units,,ProdPic/default.jpg
207,true,3004,ארטישוק במיונז וירקות 250 גר',9.5,Units,Units,,ProdPic/default.jpg
208,true,3004,פלחי ארטישוק ברוטב חמצמץ 250 גר',9.5,Units,Units,,ProdPic/default.jpg
209,true,3004,קישוא בטעם כבד 250 גר',9.5,Units,Units,,ProdPic/default.jpg
210,true,3004,קישוא מוקפץ ברוטב עדין 250 גר',9.5,Units,Units,,ProdPic/default.jpg
211,true,3004,פיטריות שמפיניון מוקפצות עם בצל 250 גר',9.5,Units,Units,,ProdPic/default.jpg
212,true,3004,פטריות במשרה מרינדה חמצמצה 250 גר',9.5,Units,Units,,ProdPic/default.jpg
213,true,3004,תירס עם פטריות 250 גר',9.5,Units,Units,,ProdPic/default.jpg
214,true,3004,סלט ביצים במיונז בנגיעות חרדל 250 גר',9.5,Units,Units,,ProdPic/default.jpg
215,true,3004,פסטו טרי טרי 250 גר',12.9,Units,Units,,ProdPic/default.jpg
216,true,3005,"רצועות גזר דקות מתובלות בלימון 0.5 ק""ג ",15.9,Units,Units,,ProdPic/default.jpg
217,true,3005,לפת חמצמצה 250 גר' ,8.5,Units,Units,,ProdPic/default.jpg
218,true,3005,פלחי לימון כבושים מתובלים 250 גר',9.5,Units,Units,,ProdPic/default.jpg
