_id,isActive,category ,name,price,display,purchase,unitWeight,image
1066,true,2001,"סירות - פלחי תפו""א עם קליפה לטיגון ואפיה",13.8,Units,Units,,placimemklipa-sirot
1067,true,2001,טבעות בצל הולנדיות - 700 גר',17.9,Units,Units,,tabotbatzal
1068,true,2001,"קייג'ין - תיבול להום פרייז, פלחים וצ'יפס",9.8,Units,Units,,
1069,true,2001,קטשופ - 750 גר' ,16,Units,Units,,
1070,true,2002,לחמניות להמבורגר - 80 גרם  ,15,Units,Units,,lacmaniahmburger80gram
1071,true,2002,לחמניות להמבורגר - 220 גרם ,15,Units,Units,,lacmaniahmburger220gram
1072,true,2002,לחמניות לנקניקיה - 8 יח',15,Units,Units,,
1073,true,2002,פיתות אסליות בעבודת יד - 10 יח' במארז,15,Units,Units,,pitot
1074,true,2002,פיתות בייבי - אסליות - 10 יח',15,Units,Units,,
1075,true,2003,אלף האיים  - 300 גר',13,Units,Units,,
1076,true,2003,ויניגרד תפוזים -300 גר',13,Units,Units,,
1077,true,2003,ויניגרד קלאסי - 300  גר',13,Units,Units,,
1078,true,2003,חרדל ודבש לסלט - 300 גר',13,Units,Units,,
1079,true,2003,ברביקיו - לגריל ולהמבורגר - 300 גר',13,Units,Units,,
1080,true,2003,צ'ימצ'ורי - 220 גר',24.5,Units,Units,,
1081,true,2003,מיונז הלמנס - צנצנת ,15.8,Units,Units,,
1082,true,3001,חומוס ירושלמי 250 גר',8.5,Units,Units,,
1083,true,3001,חומוס ירושלמי 500 גר',14.9,Units,Units,,
1084,true,3001,חומוס מסבחה עם גרגרים  - 250 גר',8.5,Units,Units,,
1085,true,3001,חומוס מסבחה עם גרגרים  - 500 גר',14.9,Units,Units,,
1086,true,3001,מסבחה ירוקה קצוצה טרייה  - 250 גר',8.5,Units,Units,,
1087,true,3001,טחינה ישראלית אמיתית - 250 גר',8.5,Units,Units,,
1088,true,3001,טחינה ישראלית אמיתית - 500 גר',14.9,Units,Units,,
1089,true,3001,טחינה אבו גוש - עם פטרוזיליה 250 גר',8.5,Units,Units,,
1090,true,3001,טחינה אבו גוש - עם פטרוזיליה 500 גר',14.9,Units,Units,,
1091,true,3001,טחינה גולמית אל - ארז  500 גר',17,Units,Units,,thinaelerez
1092,true,3002,חציל על האש טבעי 250 גר',8.5,Units,Units,,
1093,true,3002,חציל תאילנדי 250 גר',8.5,Units,Units,,
1094,true,3002,חציל מרוקאי 250 גר',8.5,Units,Units,,
1095,true,3002,חציל איטלקי עם זיתים 250 גר',8.5,Units,Units,,
1096,true,3002,חציל יפני עם רוטב צ'ילי 250 גר',8.5,Units,Units,,
1097,true,3002,חציל על האש במיונז 250 גר',8.5,Units,Units,,
1098,true,3002,חציל על האש במיונז 500 גר',14.9,Units,Units,,
1099,true,3002,חציל על האש עם ירקות 250 גר',8.5,Units,Units,,
1100,true,3002,חציל על האש עם ירקות 500 גר',14.9,Units,Units,,
1101,true,3002,חציל על האש בטחינה 500 גר',16.15,Units,Units,,
1102,true,3002,חציל ברוטב מתוק אדום אדום 250 גר',8.5,Units,Units,,
1103,true,3002,חציל פיקנטי ברוטב אדום 250 גר',8.5,Units,Units,,
1104,true,3003,תורכי תורכי 250 גר' ,8.5,Units,Units,,
1105,true,3003,תורכי תורכי 500 גר' ,14.9,Units,Units,,
1106,true,3003,סלסה עגבניות עם שום 250 גר' ,8.5,Units,Units,,
1107,true,3003,מטבוחה על האש -250 גר',8.5,Units,Units,,
1108,true,3003,מרדומה חמודה - 250 גר' ,8.5,Units,Units,,
1109,true,3004,פלפלים קלויים על האש - רצועות - 250 גר',8.5,Units,Units,,
1110,true,3004,פלפלים קלויים על האש - רצועות חריף בכיף,8.5,Units,Units,,
1111,true,3004,סלק אדום אדום - 250 גר',8.5,Units,Units,,
1112,true,3004,כרוב אדום במיונז 250 גר',8.5,Units,Units,,
1113,true,3004,פלפל גמבה - שרי פיקנטי 250 גר',8.5,Units,Units,,
1114,true,3004,גזר מרוקאי - עם פטרוזיליה קצוצה 250 גר',8.5,Units,Units,,
1115,true,3004,"תפו""א במיונז עם מלפפון חמוץ 250 גר'",8.5,Units,Units,,
1116,true,3004,קולסלאו - 250 גר',8.5,Units,Units,,
1117,true,3004,ארטישוק במיונז וירקות 250 גר',9.5,Units,Units,,
1118,true,3004,פלחי ארטישוק ברוטב חמצמץ 250 גר',9.5,Units,Units,,
1119,true,3004,קישוא בטעם כבד 250 גר',9.5,Units,Units,,
1120,true,3004,קישוא מוקפץ ברוטב עדין 250 גר',9.5,Units,Units,,
1121,true,3004,פיטריות שמפיניון מוקפצות עם בצל 250 גר',9.5,Units,Units,,
1122,true,3004,פטריות במשרה מרינדה חמצמצה 250 גר',9.5,Units,Units,,
1123,true,3004,תירס עם פטריות 250 גר',9.5,Units,Units,,
1124,true,3004,סלט ביצים במיונז בנגיעות חרדל 250 גר',9.5,Units,Units,,
1125,true,3004,פסטו טרי טרי 250 גר',12.9,Units,Units,,
1126,true,3005,"רצועות גזר דקות מתובלות בלימון 0.5 ק""ג ",15.9,Units,Units,,
1127,true,3005,לפת חמצמצה 250 גר' ,8.5,Units,Units,,
1128,true,3005,פלחי לימון כבושים מתובלים 250 גר',9.5,Units,Units,,
1129,true,3005,"עגבניות שרי - כבושות  0.5 ק""ג",14.9,Units,Units,,
1130,true,3005,"עגבניות  ירוקות - כבושות  0.5 ק""ג",14.9,Units,Units,,
1131,true,3005,"מסייר - ירקות כבושים  1 ק""ג",16,Units,Units,,
1132,true,3005,"כרוב אדום עם טיפטופי לימון 1 ק""ג",19.9,Units,Units,,
1133,true,3005,"כרוב לבן עם טיפטופי לימון 1 ק""ג",19.9,Units,Units,,
1134,true,3005,"כרוב לבן עם טיפטופי לימון וכוסברה 1 ק""ג",19.9,Units,Units,,
1135,true,3005,זיתים מיוחדים - סורי 100 גר' ,6.9,Units,Units,,
1136,true,3005,זיתים מיוחדים - שחורים 100 גר' ,6.9,Units,Units,,
1137,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,6.9,Units,Units,,zeitim4
1138,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim1
1139,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim2
1140,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim3
1141,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim5
1142,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim6
1143,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim7
1144,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim8
1145,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim9
1146,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim10
1147,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim11
1148,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim12
1149,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim13
1150,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim14
1151,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim15
1152,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim16
1153,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim17
1154,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim18
1155,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim19
1156,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim20
1157,true,3005,זיתים מיוחדים - ירוקים 100 גר' ,,Units,Units,,zeitim21
